id,recc tuple
"Healthy-Cookie-Dough-Bites-1484414","5-Ingredient-Dark-Chocolate-Peanut-Butter-Truffles-2056783","Homemade-Reese_s-Peanut-Butter-Cups-1360232","Buckeye-Brownies-_Vegan_-Gluten-Free_-1379485","5-Ingredient-Salted-Caramel-Peanut-Butter-Truffles-1443009","3-Ingredient-Nutella-Brownies-1566271"
"5-Ingredient-Peanut-Butter-Chocolate-Chip-Cookies-1753644","Overnight-Chocolate-Chip-Cookies-1073301","Thick-and-Chewy-Chocolate-Chip-Cookies-600757","Congo-Bars-1072119","Brownie-Cookies-1053288","Flourless-Peanut-Butter-Chocolate-Chip-Cookies-1746009"
"Mascarpone-Stuffed-Chocolate-Dipped-Strawberries-1924119","2-Ingredient-Ghost-Chocolate-Cups-1890935","How-To-Make-Perfect-Chocolate-Covered-Strawberries-1081892","Cranberry-Pistachio-Chocolate-Bark-1911586","White-and-dark-chocolate-strawberries-308137","Chocolate-Dipped-Strawberries-The-Shiksa-in-the-Kitchen-288958"
"Peanut-butter-bars-335976","Peanut-Butter-Cup-Bars-1288512","Peanut-Butter-Cup-Bars-482107","How-to-make-a-graham-cracker-pie-crust-306383","No-Bake-Double-Peanut-Butter-Bars-1059366","Reese_s-Peanutbutter-Bars-1171293"
"Breakfast-Smoothies-for-Weight-Loss-1803077","Fresh-Orange-Julius-1097256","Chocolate-yogurt-cake-335629","Breakfast-Banana-Split-556663","Skinny-Mocha-Banana-Crunch-Ice-Cream-1181539","Banana-Brown-Sugar-Vanilla-Smoothie-485718"
"Chocolate-Chip-Clouds-1581008","Meringue-1519437","Mini-Pavlova-1028849","Peanut-Butter-Clouds-1059737","Fudgy-Double-Chocolate-Meringues-Once-Upon-A-Chef-287068","Easy-7-Minute-Vanilla-Frosting-2016023"
"Eggless-Chocolate-Mousse-1091862","Eggless-Chocolate-Mousse-1631795","Chocolate-Toffee-RITZ-2062617","Creamy-Fudgesicles-1073056","Chocolate-Turnover-1617313","Easy-Low-Carb-Chocolate-Mousse-1062175"
"Chocolate-Peanut-Butter-Smoothie-Bowl-1120424","Banana-Peanut-Butter-Nice-Cream-2062941","Healthy-Oatmeal-Breakfast-Cookies-1726882","Clean-Late-Night-Snack-1311202","Frosty-No-Bake-Glo-Cakes-440246","Banana-Sushi-1313417"
"Lazy-Cake-Cookies-607368","4-Ingredient-Red-Velvet-Cookies-1489300","Thin-Mint-Brownies-1634722","Strawberry-Brownies-989748","Chess-Squares-1807753","Easy-Bunny-Cupcakes-1041922"
"Chocolate-Chip-Cookie-Dough-Dip-592609","Classic-Cream-Cheese-Frosting-1176656","Cream-Cheese-Spread-2058775","Chocolate-Toffee-RITZ-2062617","Cookie-Dough-Popsicles-568603","No-Bake-Cafeteria-Peanut-Butter-Bars-471474"
"Bailey_s-brownies-333866","Homemade-Irish-Cream-Ice-Cream-682128","Baileys-Truffles-1385861","Chocolate-orange-brownies-333660","Brownie-Enormous-474724","The-Best-Chocolate-Chip-Cookies-1901159"
"Secret-Ingredient-Chocolate-Smoothie-1573223","Chocolate-Overnight-Oatmeal-Smoothie-1247885","5-Ingredient-Vegan-Quinoa-Fudge-828309","Peanut-Butter-Brownie-Balls-2060728","Starbucks-Vanilla-Bean-Frappuccino-_dairy-free_-631212","Healthy-Nutella-Fudge-Protein-Bars-_sugar-free_-whole-grain-and-vegan__-578154"
"S_mores-Seven-Layer-Bars-1641551","Smores-Cheesecake-Bars-2041832","S_mores-Caramel-Popcorn-1797223","Ultimate-S_more-593110","Magic-Cookie-Truffles-946606","Smore-Ice-Cream-1262673"
"Skinny-Vanilla-Mocha-Frappe-1174793","Best-Cocoa-Brownies-484727","Easiest_-Tastiest-5-Ingredient-Chocolate-Cake_-Gluten_-Grain_-and-Dairy-Free-1184551","Chocolate-Peanut-Butter-Fat-Bombs-1312678","Chocolate-Pudding-1508172","Protein-Ice-Cream-1174788"
